City_ID,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
547,1645875,Curup,ID,-3.4667,102.5333,66.11,89,96,1.36
548,4565090,Guánica,PR,17.9716,-66.908,79.48,53,51,3.0
549,1498920,Mezhdurechensk,RU,53.6942,88.0603,3.38,94,77,2.77
550,3492997,Samaná,DO,19.2056,-69.3369,78.8,78,40,9.91
551,1817968,Anshun,CN,26.25,105.9333,61.12,92,98,10.98
552,1529102,Ürümqi,CN,43.801,87.6005,23.0,100,75,2.24
553,3448903,São João da Barra,BR,-21.6403,-41.0511,78.8,78,0,16.11
554,2028164,Deputatsky,RU,69.3,139.9,-20.34,84,36,4.81
555,3422683,Kangaatsiaq,GL,68.3065,-53.4641,5.18,88,99,7.94
556,3393692,Itarema,BR,-2.9248,-39.9167,79.21,80,92,8.72
557,6445060,Sainte-Maxime,FR,43.3,6.6333,51.96,37,15,13.8
558,778707,Mehamn,NO,71.0357,27.8492,17.6,67,40,25.32
559,1062663,Mahajanga,MG,-15.7167,46.3167,78.8,94,20,3.44
560,364933,Umm Kaddadah,SD,13.6017,26.6876,82.35,6,1,14.25
561,286621,Salalah,OM,17.0151,54.0924,75.2,64,0,3.44
562,2511366,San Javier,ES,37.8063,-0.8374,53.08,87,0,3.44
563,1274468,Chetwayi,IN,10.5333,76.05,78.8,89,20,1.14
